Path,Valence,Energy
./data/lpd/lpd_cleansed/D/K/Y/TRDKYAR128F92F4DA2/95eb7814610622827015920dd70104e8.npz,0.977,0.492
./data/lpd/lpd_cleansed/D/K/Z/TRDKZNV128F427E460/09857e1ca702f836e26819adeca0c8c9.npz,0.498,0.942
./data/lpd/lpd_cleansed/D/K/H/TRDKHAO128F92C7E53/7dcd5df3c2a3a70c17ef74fe15488776.npz,0.648,0.983
./data/lpd/lpd_cleansed/D/K/T/TRDKTEP128F14697D3/03ba506a35c691475102c8d4410f4bdc.npz,0.668,0.721
./data/lpd/lpd_cleansed/D/K/I/TRDKIZJ128F4238407/990ede0e0e98f3ecaee29a5459a8e541.npz,0.127,0.307
./data/lpd/lpd_cleansed/D/K/L/TRDKLGX128F4259C7B/45c9e58307f710e27483ebab276a5c22.npz,0.561,0.888
./data/lpd/lpd_cleansed/D/K/E/TRDKEWM128F145267A/3a1966b9c6a379567cd9fe0face70a2d.npz,0.115,0.607
./data/lpd/lpd_cleansed/D/K/E/TRDKELF128F93210CA/3d3438649b52cbffe1d84f223cd7e833.npz,0.424,0.882
./data/lpd/lpd_cleansed/D/M/F/TRDMFZZ128F423D4B1/add8f179f2eed9954bf5c650c4421468.npz,0.907,0.911
./data/lpd/lpd_cleansed/D/M/W/TRDMWHC128F148D320/cc93ec295967f9ad04569f1cafc4f048.npz,0.632,0.924
./data/lpd/lpd_cleansed/D/M/W/TRDMWBC128F424F151/a665b6f3962a665a194d7f422e7bd53e.npz,0.184,0.803
./data/lpd/lpd_cleansed/D/M/O/TRDMOKH128F934B64E/fd7b041891f96c8551d939c3c5bcd07e.npz,0.762,0.884
./data/lpd/lpd_cleansed/D/M/O/TRDMONV128E0792384/bf3a9d6fe7a495759b24bc35d12df313.npz,0.963,0.881
./data/lpd/lpd_cleansed/D/M/Y/TRDMYTQ128F9341444/e2d1439d8a92708cb0bf74d5ef8ff6fd.npz,0.952,0.99
./data/lpd/lpd_cleansed/D/M/C/TRDMCAI128F149968F/2f97a8df16535b2e05ab6192563e1561.npz,0.468,0.994
./data/lpd/lpd_cleansed/D/M/C/TRDMCGW128F42AE0C9/5385ebf2226c6ff25f29b0dd95d07cb3.npz,0.309,0.513
./data/lpd/lpd_cleansed/D/M/Z/TRDMZAF128F92C5AF6/adaf41a95262e3c8d6ff7f3a3a70b5cd.npz,0.919,0.91
./data/lpd/lpd_cleansed/D/M/T/TRDMTKP128F145B6CA/669fe3528c57c958479c67f20158488f.npz,0.673,0.348
./data/lpd/lpd_cleansed/D/M/T/TRDMTUI12903CD2974/5fa966cf02d522c61cda4fc20b0f0a3c.npz,0.554,0.647
./data/lpd/lpd_cleansed/D/M/I/TRDMIUR128F42A9606/aff571e8cc53f8bb3af78eb557a1e107.npz,0.341,0.603
./data/lpd/lpd_cleansed/D/M/X/TRDMXML128F1496E86/b074bba46af3583d627ab78e0516401f.npz,0.473,0.902
./data/lpd/lpd_cleansed/D/M/X/TRDMXPL128F4271B4E/ded4425b006431395e170c4326dd5ff9.npz,0.963,0.925
./data/lpd/lpd_cleansed/D/M/P/TRDMPWC128F42721F7/5a8ca3626bd7d0ace4917d5d6199cd04.npz,0.326,0.354
./data/lpd/lpd_cleansed/D/M/P/TRDMPEB128F931177B/3c94b93ee66ef9b7ad60ef6d6e831436.npz,0.0979,0.954
./data/lpd/lpd_cleansed/D/M/G/TRDMGYG128F9339AE4/040f14c4794f2671a9876dc8b199d9f7.npz,0.543,0.782
./data/lpd/lpd_cleansed/D/M/G/TRDMGOA12903CD3A8D/cef36eca0073dc0b8505b5887ba27828.npz,0.575,0.843
./data/lpd/lpd_cleansed/D/M/R/TRDMRWK128F4243436/4d5841f55f293cf421075aa50d7d30b0.npz,0.337,0.821
./data/lpd/lpd_cleansed/D/M/E/TRDMETU128F9302AE1/20e763d48993f42f24d2daf6cf27068c.npz,0.704,0.942
./data/lpd/lpd_cleansed/D/S/M/TRDSMIO128F4235537/dc64b398291a02346f1c3b6a532581d4.npz,0.893,0.71
./data/lpd/lpd_cleansed/D/S/S/TRDSSJP128E0795350/586c0e705100a83a6bb6383d8ea74714.npz,0.354,0.994
./data/lpd/lpd_cleansed/D/S/A/TRDSAWK128F92F1281/9c85783caf2d12613623e8fe051affab.npz,0.391,0.499
./data/lpd/lpd_cleansed/D/S/F/TRDSFZU12903C9B42A/6b09c5d502fcfb4b6640358f29749c65.npz,0.199,0.468
./data/lpd/lpd_cleansed/D/S/W/TRDSWOK128F933FCFE/dd13109d4cc520902898e942b2a04883.npz,0.923,0.682
./data/lpd/lpd_cleansed/D/S/J/TRDSJYZ12903CC0D01/8c57366171deac9775757744c50450ec.npz,0.843,0.537
./data/lpd/lpd_cleansed/D/S/Y/TRDSYIU12903CB2494/68678b2e2656624c87fa9ca4f5654c1d.npz,0.0575,0.284
./data/lpd/lpd_cleansed/D/S/Y/TRDSYMP128F931FBB2/90ec306bcf3443ea3489c7438831eae1.npz,0.891,0.826
./data/lpd/lpd_cleansed/D/S/Z/TRDSZSK128F93216F2/af03a730fb36f6cc8967fc06bf2dfa69.npz,0.293,0.459
./data/lpd/lpd_cleansed/D/S/Z/TRDSZDO12903D0936F/c2e28f932dcc7eb5487587fa6be72d92.npz,0.718,0.611
./data/lpd/lpd_cleansed/D/S/U/TRDSUPR128F930344C/e43eaf924c97c7298ae04f9fd4ce6082.npz,0.46,0.99
./data/lpd/lpd_cleansed/D/S/V/TRDSVSO128F92F3415/5ac9a3c87d8ef6c08430328221aa6daa.npz,0.482,0.674
./data/lpd/lpd_cleansed/D/S/I/TRDSITX128F92C2F24/7f523616b1b84d57d34f999d53fc5f6e.npz,0.12,0.792
./data/lpd/lpd_cleansed/D/S/X/TRDSXHT128E0792251/188dd34a3f1cbb67438954c954b06227.npz,0.563,0.885
./data/lpd/lpd_cleansed/D/S/P/TRDSPZM128F93253DC/1e8ed6ab0ffbe1296abf1c80428db151.npz,0.734,0.826
./data/lpd/lpd_cleansed/D/S/P/TRDSPOZ128F1456638/a667ce5974ffea43823f364e81fff6b2.npz,0.44,0.857
./data/lpd/lpd_cleansed/D/S/G/TRDSGSB128F9302E83/527b45736eb771e0507b2ac9223a2fd2.npz,0.644,0.822
./data/lpd/lpd_cleansed/D/S/E/TRDSEUU12903CDAA04/9cbeabb5f08aa5102af322e63e760426.npz,0.179,0.578
./data/lpd/lpd_cleansed/D/A/D/TRDADSY128F425A66A/8cbfe6407708c785af000edfffe9df4e.npz,0.321,0.538
./data/lpd/lpd_cleansed/D/A/S/TRDASKY128F1493A5C/35ba5c5ffdac5fa05ef71c56e47e2e8e.npz,0.409,0.164
./data/lpd/lpd_cleansed/D/A/S/TRDASPF128F92F7B3C/f57dd46365c67a7ef8839d0fddabd9e7.npz,0.482,0.641
./data/lpd/lpd_cleansed/D/A/W/TRDAWVS128F4236D29/d25b41bc3ccc5dde3b627eae1859a53f.npz,0.895,0.913
./data/lpd/lpd_cleansed/D/A/W/TRDAWWZ128F92FE966/72b8d5aca15bad5ab5afe348a1019edc.npz,0.812,0.932
./data/lpd/lpd_cleansed/D/A/W/TRDAWGY128F92E33F8/dab5fdc1e9910b6917c6e5335ab9c8cf.npz,0.357,0.424
./data/lpd/lpd_cleansed/D/A/W/TRDAWAM128F42958B6/719732afa1186750e8ca569141b85807.npz,0.151,0.0687
./data/lpd/lpd_cleansed/D/A/J/TRDAJSG128F4214223/85d5c3de49abe72085be612349d9c949.npz,0.543,0.876
./data/lpd/lpd_cleansed/D/A/U/TRDAUAV128E078E917/579a2bc1f9ac2bddf456b3d87dadc40a.npz,0.586,0.557
./data/lpd/lpd_cleansed/D/A/N/TRDANDC128F4258D9F/b683a0ff103f1c259bb2eb1698ee34f1.npz,0.12,0.148
./data/lpd/lpd_cleansed/D/A/N/TRDANPH128F933C2B5/74d940d4521e8439f43d3df7684b95c1.npz,0.349,0.996
./data/lpd/lpd_cleansed/D/A/N/TRDANRD12903CCB20A/78a37bcfb7263c87bfbc8451059ffe84.npz,0.904,0.871
./data/lpd/lpd_cleansed/D/A/H/TRDAHQY128F92F027F/7adf628992d5ea65f6dd2d9f7299e203.npz,0.187,0.637
./data/lpd/lpd_cleansed/D/A/H/TRDAHQO128F92E4117/3c94b93ee66ef9b7ad60ef6d6e831436.npz,0.0979,0.954
./data/lpd/lpd_cleansed/D/A/T/TRDATNS12903CD8B58/7a546b95883a90ec122afb62eb1de48c.npz,0.858,0.804
./data/lpd/lpd_cleansed/D/A/I/TRDAIJH128F42A4039/83a052a9456d21d5341aa5fbb1b01348.npz,0.466,0.339
./data/lpd/lpd_cleansed/D/A/L/TRDALJN12903CFA04E/c214e815cebd51f6feb8628aebe08f8b.npz,0.355,0.863
./data/lpd/lpd_cleansed/D/A/X/TRDAXSE128F92EB47F/55f1419f60fccbb40ab26a746d1abd03.npz,0.128,0.0805
./data/lpd/lpd_cleansed/D/A/G/TRDAGCY128F93210DD/2937eb84c32c7da6a36a253f642135ad.npz,0.214,0.564
./data/lpd/lpd_cleansed/D/A/G/TRDAGCD128EF3531CD/89665213ad209b3967989c5cc529d819.npz,0.716,0.471
./data/lpd/lpd_cleansed/D/A/E/TRDAEYF128F429E217/0e45015469ba9a59f8a6d6db584f52e6.npz,0.679,0.962
./data/lpd/lpd_cleansed/D/F/D/TRDFDPN12903CB0907/b5dbd0fb4d7c66fb538b669143e89710.npz,0.496,0.96
./data/lpd/lpd_cleansed/D/F/D/TRDFDTC128EF365F4D/0d9dfbbc8c5a0f975449d97293c64b1e.npz,0.537,0.812
./data/lpd/lpd_cleansed/D/F/B/TRDFBZP128F934FE9E/bbf7bd4fdb7799e85439d86c7e512153.npz,0.848,0.831
./data/lpd/lpd_cleansed/D/F/K/TRDFKXE128F9326422/9f293162bbcd823423b3c8693aef62fa.npz,0.221,0.386
./data/lpd/lpd_cleansed/D/F/M/TRDFMWU128F4214450/1179bd2fcc873ae90c33929948772fd4.npz,0.0611,0.409
./data/lpd/lpd_cleansed/D/F/S/TRDFSUA128F1495990/d3457450251a6cb58cc2687bff859b4e.npz,0.284,0.442
./data/lpd/lpd_cleansed/D/F/A/TRDFAES128F4245D5A/982c9979ff6365e6a8b10fd854403372.npz,0.898,0.715
./data/lpd/lpd_cleansed/D/F/A/TRDFASF12903CC400B/86fcdce96a46132c168b212582111c68.npz,0.796,0.761
./data/lpd/lpd_cleansed/D/F/F/TRDFFYM12903CFEF40/d0aa6fe4cfbbf3ba878b69204edd6793.npz,0.125,0.748
./data/lpd/lpd_cleansed/D/F/F/TRDFFQQ12903D08016/8cbfe6407708c785af000edfffe9df4e.npz,0.321,0.538
./data/lpd/lpd_cleansed/D/F/Q/TRDFQEG12903CB68B7/a6d69c186f407b2102111d45f65f7117.npz,0.0685,0.72
./data/lpd/lpd_cleansed/D/F/W/TRDFWJW128F427BBA9/f534d08dda8aec5c562d55cc8c76ee11.npz,0.563,0.422
./data/lpd/lpd_cleansed/D/F/J/TRDFJWV128F932D085/0ec264d4f0b5938d9d074e4b252e9d5e.npz,0.717,0.827
./data/lpd/lpd_cleansed/D/F/Z/TRDFZGE128F92F4AA1/9bd22c011e828bb64101cc15511c0bde.npz,0.803,0.413
./data/lpd/lpd_cleansed/D/F/Z/TRDFZSP128F9329091/98b6a94a047276d573621a1e772a131d.npz,0.477,0.47
./data/lpd/lpd_cleansed/D/F/U/TRDFUQS12903CCEFD0/7fe8c7132ba8a5a6af21994cb8125b32.npz,0.371,0.764
./data/lpd/lpd_cleansed/D/F/U/TRDFUIU128F92D69BF/7456e69a7d73dd73bc962b7f210332dc.npz,0.237,0.465
./data/lpd/lpd_cleansed/D/F/N/TRDFNIE128F429357F/01a6a1716d5406a1e9ab11a2add1ee1a.npz,0.461,0.634
./data/lpd/lpd_cleansed/D/F/H/TRDFHGS128F92D11B6/c724f1e99ef2744e60ecfbad850ac9ff.npz,0.812,0.932
./data/lpd/lpd_cleansed/D/F/H/TRDFHEE12903CEBC80/12d3ef7046783f1fba07da859511fb41.npz,0.859,0.741
./data/lpd/lpd_cleansed/D/F/T/TRDFTZW128F423A990/3ecc486bbe2bf1100387f26f33338558.npz,0.891,0.753
./data/lpd/lpd_cleansed/D/F/V/TRDFVCJ12903CA3D34/c4c84a0540af5db8de69fcbb044e4c02.npz,0.421,0.685
./data/lpd/lpd_cleansed/D/F/L/TRDFLAU128F9326590/55054ea7db49b1d9a1e642b974982e18.npz,0.962,0.794
./data/lpd/lpd_cleansed/D/F/L/TRDFLXT12903CE049C/bae00838fb096c66c7533c3851f68bcf.npz,0.109,0.141
./data/lpd/lpd_cleansed/D/F/X/TRDFXQM128F930AD01/c7ee63285e8ccd5f94687a3cc6a7a152.npz,0.199,0.292
./data/lpd/lpd_cleansed/D/F/X/TRDFXEJ12903CF5152/7132a1bc521f4da867a27d0360dd99fa.npz,0.486,0.816
./data/lpd/lpd_cleansed/D/F/G/TRDFGKU128F9307788/5098ca78d3bf8f64738674c1edd2804a.npz,0.44,0.25
./data/lpd/lpd_cleansed/D/Q/M/TRDQMYI128F4259DDC/295ccbcce72c9f4c63a4b9c5f050cd4e.npz,0.556,0.776
./data/lpd/lpd_cleansed/D/Q/M/TRDQMTM128F14995DB/2b86485f6c4126838e7f3bb17171aaa5.npz,0.446,0.758
./data/lpd/lpd_cleansed/D/Q/Q/TRDQQZQ128F931591B/370aae05775c84a1d29534fc6a415812.npz,0.514,0.505
./data/lpd/lpd_cleansed/D/Q/Z/TRDQZQI128E078F26A/9b830e306510bb1d15a5712e564fd6df.npz,0.523,0.583
./data/lpd/lpd_cleansed/D/Q/Z/TRDQZVP128F42347E1/21d2123e7692d2bdfde6bf4bcba692db.npz,0.864,0.748
./data/lpd/lpd_cleansed/D/Q/U/TRDQUZT128F92FCAD1/3e2c9ed2fcecc2b279104b79f20bb26c.npz,0.914,0.939
./data/lpd/lpd_cleansed/D/Q/U/TRDQUZR128F9328EDB/a6d25eb14761c2c455df5f1b7a916fe8.npz,0.632,0.609
./data/lpd/lpd_cleansed/D/Q/N/TRDQNSC12903CD6B27/680d7643e5dd9b36f13729f2a6eb41e1.npz,0.188,0.466
./data/lpd/lpd_cleansed/D/Q/H/TRDQHLC128F423FBE9/2850381a84231429fa5918e74af954b5.npz,0.897,0.7
./data/lpd/lpd_cleansed/D/Q/H/TRDQHKG128F9339FD5/4acc05d8b756d7099efaaacd332f698e.npz,0.211,0.312
./data/lpd/lpd_cleansed/D/Q/T/TRDQTMS128F424BE57/17dac346f37db46ac3f1d6fb16614897.npz,0.961,0.625
./data/lpd/lpd_cleansed/D/Q/L/TRDQLZM128F92F4F44/2d1811b3cbb46774d66f282a2063d7c7.npz,0.707,0.681
./data/lpd/lpd_cleansed/D/Q/L/TRDQLPM12903CE3ED5/b2f04f5c8079f666987a72720425141c.npz,0.781,0.752
./data/lpd/lpd_cleansed/D/Q/G/TRDQGSM128F1460983/524a78447c0b975669179f6284780d6f.npz,0.703,0.594
./data/lpd/lpd_cleansed/D/Q/E/TRDQEEI128F42B0274/4bf7751df34435aefd6c00f6a8f028fa.npz,0.972,0.382
./data/lpd/lpd_cleansed/D/W/B/TRDWBLS128F92EB8C9/c91660a8f9d7b2c796b2e3b25a82ea70.npz,0.261,0.296
./data/lpd/lpd_cleansed/D/W/M/TRDWMEN128F935A08C/8c4ffc1799a18c94d35566910e115874.npz,0.718,0.75
./data/lpd/lpd_cleansed/D/W/F/TRDWFGC12903CFDF2D/c51ba2271d6fc4040fdf4058b28ca89e.npz,0.918,0.455
./data/lpd/lpd_cleansed/D/W/Q/TRDWQIB128E0782EAC/870fdd4c75b6392aae7463d43eadd150.npz,0.785,0.536
./data/lpd/lpd_cleansed/D/W/W/TRDWWKK128F934B485/676c5769bda2f062f76271c60a2d7348.npz,0.213,0.978
./data/lpd/lpd_cleansed/D/W/C/TRDWCTE128F932F76E/d1a84770cec7fbc168b4b6906d21e175.npz,0.582,0.985
./data/lpd/lpd_cleansed/D/W/Z/TRDWZTV12903D0E59B/0eeaa947af2669e9b553a25d13f29622.npz,0.315,0.331
./data/lpd/lpd_cleansed/D/W/U/TRDWUHR128F42AFD20/0cdc8a021efbed75f62bbffb89e3111f.npz,0.252,0.553
./data/lpd/lpd_cleansed/D/W/U/TRDWUGH128E0788917/9df18139c4d9e0fc72063c7323a1264b.npz,0.86,0.839
./data/lpd/lpd_cleansed/D/W/U/TRDWULC12903CBEB25/050e269767233941f5e2ba85fa89ae4c.npz,0.555,0.493
./data/lpd/lpd_cleansed/D/W/H/TRDWHDE128F9308934/3ffa4bf23606641568eeb9e80d1124dd.npz,0.676,0.481
./data/lpd/lpd_cleansed/D/W/V/TRDWVQX128F9335CED/c35393c4996bb3ac92e586463c202009.npz,0.175,0.713
./data/lpd/lpd_cleansed/D/W/V/TRDWVKZ128F92D4BFC/631133fa2ae7095bb9113087af86744e.npz,0.593,0.737
./data/lpd/lpd_cleansed/D/W/L/TRDWLFV128F1462F75/774aac103cf90ecaf6a3698dbe4eb1c7.npz,0.353,0.306
./data/lpd/lpd_cleansed/D/W/X/TRDWXKM128F92EB150/e9a7c88391b0c871e5aec05fda60e74e.npz,0.313,0.569
./data/lpd/lpd_cleansed/D/W/G/TRDWGVF12903D09518/33c71d8eedf3dace512d5921061d3c85.npz,0.928,0.544
./data/lpd/lpd_cleansed/D/W/G/TRDWGLD128F4284142/e22564b97e2bfd3a1674ed28f61d3b76.npz,0.631,0.647
./data/lpd/lpd_cleansed/D/W/R/TRDWREB128F4280380/520ab7ccc4d161d6eefd69fb0affca17.npz,0.397,0.839
./data/lpd/lpd_cleansed/D/W/R/TRDWRRO12903CE3287/a0beebb06d587930ab70259d3245cc84.npz,0.0581,0.672
./data/lpd/lpd_cleansed/D/J/B/TRDJBWB128F4287B86/02a7b2a1e6aef6a0090cec06b0d6ea46.npz,0.956,0.96
./data/lpd/lpd_cleansed/D/J/K/TRDJKVF128F14921C4/47b9711b4003ccdba9bc10c48e942aa6.npz,0.757,0.944
./data/lpd/lpd_cleansed/D/J/K/TRDJKRX12903CBEFDA/08e9ade5098454b4429011d9dd1b1c8c.npz,0.535,0.884
./data/lpd/lpd_cleansed/D/J/Q/TRDJQFN128F93360B4/1eb040b75bb079fad4b6e85d063d9830.npz,0.678,0.715
./data/lpd/lpd_cleansed/D/J/Q/TRDJQLI128E07917C7/dd2fceca119c8df6d21913c03348fcdf.npz,0.642,0.462
./data/lpd/lpd_cleansed/D/J/Q/TRDJQCC128F92FE3EB/1a9ac085056cc265e1d85eb8a942d361.npz,0.307,0.231
./data/lpd/lpd_cleansed/D/J/O/TRDJOYE12903CE5677/3a44ff379436cff87840aec33ab6ecf0.npz,0.834,0.632
./data/lpd/lpd_cleansed/D/J/Y/TRDJYEE128F9316AE9/b26cf899e37bc564f18cd437080bfad3.npz,0.929,0.955
./data/lpd/lpd_cleansed/D/J/C/TRDJCWJ128F92CDD98/0bcd02baf55e9e06c9d7bfe7f4cbf5c5.npz,0.218,0.821
./data/lpd/lpd_cleansed/D/J/Z/TRDJZAT128F428BA7D/a48d1c64f431f333ce29d089383903f0.npz,0.591,0.594
./data/lpd/lpd_cleansed/D/J/Z/TRDJZON128E0782FEB/c97c0e88bacdb554e6826bcaa0f41b02.npz,0.672,0.808
./data/lpd/lpd_cleansed/D/J/U/TRDJUGK128F933D1B9/1258497b3ab8ffa7ba927760dc3af960.npz,0.129,0.301
./data/lpd/lpd_cleansed/D/J/U/TRDJUIU128F1459362/202b6e4a9afab5fcae68e4391f2bcb59.npz,0.467,0.419
./data/lpd/lpd_cleansed/D/J/V/TRDJVXF128F9341705/f1508f5a65b6e91d5c86fdf303c6c489.npz,0.421,0.428
./data/lpd/lpd_cleansed/D/J/I/TRDJIEY128F429D6D4/7907d92f94a889118c703ad3aa902037.npz,0.768,0.706
./data/lpd/lpd_cleansed/D/J/I/TRDJIKZ128EF343C43/e486552298620f3623a316794761d5ef.npz,0.153,0.502
